0000.1262	0013.8	10	1	000.0	-03.752795	-038.490322	0539.0	0058.9	0044.4	0030.6	0006.1	0005.03
0000.1291	0014.0	4	15	000.0	-03.752772	-038.490312	0539.1	0059.2	0044.4	0030.4	0006.1	0004.95
0000.1319	0014.2	4	15	000.0	-03.752749	-038.490302	0539.2	0059.4	0044.4	0030.2	0006.2	0004.86
0000.1347	0014.3	4	15	000.0	-03.752726	-038.490292	0539.3	0059.7	0044.4	0030.1	0006.3	0004.80
0000.1375	0014.5	4	15	000.0	-03.752703	-038.490282	0539.4	0059.9	0044.4	0029.9	0006.3	0004.72
0000.1403	0014.9	4	15	000.0	-03.752680	-038.490271	0539.5	0060.2	0044.4	0029.5	0006.4	0004.61
0000.1431	0015.4	4	15	000.0	-03.752657	-038.490261	0539.7	0060.4	0044.4	0029.0	0006.5	0004.49
0000.1459	0015.7	4	15	000.0	-03.752634	-038.490251	0539.8	0060.7	0044.4	0028.7	0006.5	0004.40
0000.1487	0016.2	4	15	000.0	-03.752611	-038.490241	0539.9	0060.9	0044.4	0028.2	0006.6	0004.28
0000.1515	0016.4	4	15	000.0	-03.752588	-038.490231	0540.0	0061.2	0044.4	0028.0	0006.6	0004.21
0000.1543	0016.7	4	15	000.0	-03.752564	-038.490221	0540.1	0061.5	0044.4	0027.7	0006.7	0004.13
0000.1571	0017.1	4	15	000.0	-03.752541	-038.490210	0540.2	0061.7	0044.4	0027.3	0006.8	0004.04
0000.1599	0017.3	4	15	000.0	-03.752518	-038.490200	0540.3	0062.0	0044.4	0027.1	0006.8	0003.97
0000.1627	0017.3	4	15	000.0	-03.752495	-038.490190	0540.5	0062.2	0044.4	0027.1	0006.9	0003.94
0000.1655	0017.4	4	15	000.0	-03.752472	-038.490180	0540.5	0062.5	0044.4	0027.0	0006.9	0003.89
0000.1683	0017.4	4	15	000.0	-03.752449	-038.490170	0540.7	0062.7	0044.4	0027.0	0007.0	0003.86
0000.1711	0017.4	4	15	000.0	-03.752426	-038.490160	0540.8	0063.0	0044.4	0027.0	0007.0	0003.83
0000.1739	0017.5	4	15	000.0	-03.752403	-038.490149	0540.9	0063.3	0044.4	0026.9	0007.1	0003.79
0000.1767	0017.5	4	15	000.0	-03.752380	-038.490139	0541.0	0063.5	0044.4	0026.9	0007.2	0003.76
0000.1795	0017.6	4	15	000.0	-03.752357	-038.490129	0541.1	0063.8	0044.4	0026.8	0007.2	0003.72
0000.1824	0017.8	4	15	000.0	-03.752334	-038.490119	0541.2	0064.0	0044.4	0026.6	0007.3	0003.66
0000.1852	0018.0	4	15	000.0	-03.752311	-038.490109	0541.3	0064.3	0044.4	0026.4	0007.3	0003.61
0000.1880	0018.3	4	15	000.0	-03.752288	-038.490099	0541.5	0064.5	0044.4	0026.1	0007.4	0003.54
